bowler,total_balls,total_runs,total_wickets,overs,economy,bowling_avg
TM Dilshan,275,368,5,45.8,8.03,73.6
TM Head,64,121,4,10.7,11.31,30.25
TP Sudhindra,74,137,1,12.3,11.14,137.0
TS Mills,218,349,11,36.3,9.61,31.73
TU Deshpande,1194,1899,60,199.0,9.54,31.65
Tejas Baroka,21,33,0,3.5,9.43,33.0
Tilak Varma,23,28,0,3.8,7.37,28.0
UT Yadav,3190,4442,163,531.7,8.35,27.25
Umar Gul,153,198,14,25.5,7.76,14.14
Umran Malik,519,785,31,86.5,9.08,25.32
V Kaverappa,24,36,2,4.0,9.0,18.0
V Kohli,264,371,5,44.0,8.43,74.2
V Nigam,301,478,14,50.2,9.52,34.14
V Pratap Singh,211,300,12,35.2,8.52,25.0
V Puthur,73,109,6,12.2,8.93,18.17
V Sehwag,138,236,6,23.0,10.26,39.33
V Shankar,258,344,12,43.0,8.0,28.67
V Viyaskanth,60,90,1,10.0,9.0,90.0
VG Arora,931,1425,51,155.2,9.18,27.94
VR Aaron,1065,1527,46,177.5,8.6,33.2
VR Iyer,84,145,3,14.0,10.36,48.33
VRV Singh,371,549,16,61.8,8.88,34.31
VS Malik,212,268,6,35.3,7.59,44.67
VS Yeligati,32,61,0,5.3,11.51,61.0
VY Mahesh,359,511,22,59.8,8.55,23.23
Vijaykumar Vyshak,550,910,31,91.7,9.92,29.35
Vivrant Sharma,21,37,0,3.5,10.57,37.0
W O'Rourke,64,132,6,10.7,12.34,22.0
WA Mota,75,98,4,12.5,7.84,24.5
WD Parnell,758,968,40,126.3,7.66,24.2
WG Jacks,203,315,10,33.8,9.32,31.5
WPUJC Vaas,288,364,22,48.0,7.58,16.55
Washington Sundar,1186,1531,42,197.7,7.74,36.45
XC Bartlett,269,486,7,44.8,10.85,69.43
Y Gnaneswara Rao,6,7,0,1.0,7.0,7.0
Y Nagar,72,125,4,12.0,10.42,31.25
Y Prithvi Raj,33,57,1,5.5,10.36,57.0
Y Venugopal Rao,222,338,7,37.0,9.14,48.29
YA Abdulla,222,311,15,37.0,8.41,20.73
YBK Jaiswal,1,6,0,0.2,30.0,6.0
YK Pathan,1184,1443,46,197.3,7.31,31.37
YS Chahal,4167,5501,242,694.5,7.92,22.73
Yash Dayal,920,1412,45,153.3,9.21,31.38
Yash Raj Punja,186,281,9,31.0,9.06,31.22
Yash Thakur,501,837,30,83.5,10.02,27.9
Yudhvir Singh,145,257,8,24.2,10.62,32.12
Yuvraj Singh,882,1091,39,147.0,7.42,27.97
Z Khan,2276,2860,119,379.3,7.54,24.03
Zeeshan Ansari,209,334,8,34.8,9.6,41.75
