type,entity,season,text
career_batting,DB Ravi Teja,all,"IPL career batting stats for DB Ravi Teja: 375 runs, 317 balls faced, 19 dismissals, strike rate 118.30, batting average 19.74."
career_batting,DE Bollinger,all,"IPL career batting stats for DE Bollinger: 21 runs, 23 balls faced, 1 dismissals, strike rate 91.30, batting average 21.00."
career_batting,DG Nalkande,all,"IPL career batting stats for DG Nalkande: 12 runs, 12 balls faced, 2 dismissals, strike rate 100.00, batting average 6.00."
career_batting,DH Yagnik,all,"IPL career batting stats for DH Yagnik: 170 runs, 137 balls faced, 10 dismissals, strike rate 124.09, batting average 17.00."
career_batting,DJ Bravo,all,"IPL career batting stats for DJ Bravo: 1560 runs, 1204 balls faced, 69 dismissals, strike rate 129.57, batting average 22.61."
career_batting,DJ Harris,all,"IPL career batting stats for DJ Harris: 111 runs, 101 balls faced, 4 dismissals, strike rate 109.90, batting average 27.75."
career_batting,DJ Hooda,all,"IPL career batting stats for DJ Hooda: 1496 runs, 1172 balls faced, 85 dismissals, strike rate 127.65, batting average 17.60."
career_batting,DJ Hussey,all,"IPL career batting stats for DJ Hussey: 1322 runs, 1075 balls faced, 49 dismissals, strike rate 122.98, batting average 26.98."
career_batting,DJ Jacobs,all,"IPL career batting stats for DJ Jacobs: 92 runs, 98 balls faced, 7 dismissals, strike rate 93.88, batting average 13.14."
career_batting,DJ Malan,all,"IPL career batting stats for DJ Malan: 26 runs, 26 balls faced, 1 dismissals, strike rate 100.00, batting average 26.00."
career_batting,DJ Mitchell,all,"IPL career batting stats for DJ Mitchell: 351 runs, 267 balls faced, 13 dismissals, strike rate 131.46, batting average 27.00."
career_batting,DJ Muthuswami,all,"IPL career batting stats for DJ Muthuswami: 1 runs, 3 balls faced, 1 dismissals, strike rate 33.33, batting average 1.00."
career_batting,DJ Thornely,all,"IPL career batting stats for DJ Thornely: 39 runs, 53 balls faced, 3 dismissals, strike rate 73.58, batting average 13.00."
career_batting,DJ Willey,all,"IPL career batting stats for DJ Willey: 53 runs, 62 balls faced, 2 dismissals, strike rate 85.48, batting average 26.50."
career_batting,DJG Sammy,all,"IPL career batting stats for DJG Sammy: 295 runs, 241 balls faced, 15 dismissals, strike rate 122.41, batting average 19.67."
career_batting,DJM Short,all,"IPL career batting stats for DJM Short: 115 runs, 99 balls faced, 7 dismissals, strike rate 116.16, batting average 16.43."
career_batting,DL Chahar,all,"IPL career batting stats for DL Chahar: 142 runs, 103 balls faced, 10 dismissals, strike rate 137.86, batting average 14.20."
career_batting,DL Vettori,all,"IPL career batting stats for DL Vettori: 121 runs, 113 balls faced, 8 dismissals, strike rate 107.08, batting average 15.12."
career_batting,DM Bravo,all,"IPL career batting stats for DM Bravo: 6 runs, 5 balls faced, 0 dismissals, strike rate 120.00, batting average not available."
career_batting,DNT Zoysa,all,"IPL career batting stats for DNT Zoysa: 11 runs, 9 balls faced, 1 dismissals, strike rate 122.22, batting average 11.00."
career_batting,DP Conway,all,"IPL career batting stats for DP Conway: 1080 runs, 773 balls faced, 25 dismissals, strike rate 139.72, batting average 43.20."
career_batting,DP Nannes,all,"IPL career batting stats for DP Nannes: 4 runs, 13 balls faced, 1 dismissals, strike rate 30.77, batting average 4.00."
career_batting,DP Vijaykumar,all,"IPL career batting stats for DP Vijaykumar: 1 runs, 1 balls faced, 0 dismissals, strike rate 100.00, batting average not available."
career_batting,DPMD Jayawardene,all,"IPL career batting stats for DPMD Jayawardene: 1802 runs, 1462 balls faced, 63 dismissals, strike rate 123.26, batting average 28.60."
career_batting,DR Martyn,all,"IPL career batting stats for DR Martyn: 19 runs, 24 balls faced, 1 dismissals, strike rate 79.17, batting average 19.00."
career_batting,DR Sams,all,"IPL career batting stats for DR Sams: 44 runs, 44 balls faced, 9 dismissals, strike rate 100.00, batting average 4.89."
career_batting,DR Shorey,all,"IPL career batting stats for DR Shorey: 13 runs, 17 balls faced, 2 dismissals, strike rate 76.47, batting average 6.50."
career_batting,DR Smith,all,"IPL career batting stats for DR Smith: 2385 runs, 1764 balls faced, 84 dismissals, strike rate 135.20, batting average 28.39."
career_batting,DS Kulkarni,all,"IPL career batting stats for DS Kulkarni: 104 runs, 108 balls faced, 9 dismissals, strike rate 96.30, batting average 11.56."
career_batting,DS Lehmann,all,"IPL career batting stats for DS Lehmann: 18 runs, 18 balls faced, 2 dismissals, strike rate 100.00, batting average 9.00."
career_batting,DS Rathi,all,"IPL career batting stats for DS Rathi: 3 runs, 8 balls faced, 1 dismissals, strike rate 37.50, batting average 3.00."
